,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_random_state,param_solver,param_tol,param_validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
136,25.896837663650512,11.456128152592175,0.006744003295898438,0.0002870899715752931,tanh,0.0006451981448187716,2339,False,"(100, 100)",adaptive,0.0033006308317152446,5000,50,69,adam,0.0002199557168530598,0.2,"{'activation': 'tanh', 'alpha': 0.0006451981448187716, 'batch_size': 2339, 'early_stopping': False, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0033006308317152446, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0002199557168530598, 'validation_fraction': 0.2}",0.8509316770186336,0.8799171842650103,0.9024896265560166,0.9066390041493776,0.8734439834024896,0.8826842950783055,0.02033395316894575,1
296,25.47469801902771,9.194134375361442,0.00560917854309082,0.0012345997823473248,tanh,0.005153250164758593,1509,False,"(50, 50)",invscaling,0.001051470948558885,5000,50,69,adam,0.0005666192558490519,0.2,"{'activation': 'tanh', 'alpha': 0.005153250164758593, 'batch_size': 1509, 'early_stopping': False, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'invscaling', 'learning_rate_init': 0.001051470948558885, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0005666192558490519, 'validation_fraction': 0.2}",0.8509316770186336,0.8757763975155279,0.8775933609958506,0.8775933609958506,0.9190871369294605,0.8801963866910647,0.021918035843426848,2
118,136.08292226791383,34.65339957656382,0.008297491073608398,0.0009610234028803474,logistic,0.004577543957653864,542,False,"(200, 200)",adaptive,0.02011694039181763,5000,50,69,sgd,0.0003115282579334019,0.2,"{'activation': 'logistic', 'alpha': 0.004577543957653864, 'batch_size': 542, 'early_stopping': False, 'hidden_layer_sizes': (200, 200), 'learning_rate': 'adaptive', 'learning_rate_init': 0.02011694039181763, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0003115282579334019, 'validation_fraction': 0.2}",0.8571428571428571,0.8592132505175983,0.9004149377593361,0.8879668049792531,0.8734439834024896,0.8756363667603069,0.016628604735846243,3
55,15.180183172225952,1.2536283280365952,0.003785228729248047,0.0008673817537347742,logistic,0.00384741387500905,1257,False,"(50, 50)",adaptive,0.0035851892631968856,5000,50,69,adam,0.0001916434423666524,0.2,"{'activation': 'logistic', 'alpha': 0.00384741387500905, 'batch_size': 1257, 'early_stopping': False, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0035851892631968856, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0001916434423666524, 'validation_fraction': 0.2}",0.8716356107660456,0.855072463768116,0.9045643153526971,0.8713692946058091,0.8672199170124482,0.8739723203010232,0.016437187366447316,4
295,244.28416571617126,60.10007532287234,0.029395914077758788,0.005804959342421705,logistic,0.005072169645455305,1251,False,"(500, 500)",adaptive,0.011673953513953707,5000,50,69,adam,0.00017910688422968026,0.2,"{'activation': 'logistic', 'alpha': 0.005072169645455305, 'batch_size': 1251, 'early_stopping': False, 'hidden_layer_sizes': (500, 500), 'learning_rate': 'adaptive', 'learning_rate_init': 0.011673953513953707, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00017910688422968026, 'validation_fraction': 0.2}",0.8302277432712215,0.8716356107660456,0.8651452282157677,0.8879668049792531,0.8921161825726142,0.8694183139609803,0.02199234528858899,5
766,32.987006759643556,8.430857075538071,0.007217597961425781,0.0013800245630793003,relu,0.004994936078968213,550,False,"(200, 200)",adaptive,0.01249474692241287,5000,50,69,adam,0.0003756225289706095,0.2,"{'activation': 'relu', 'alpha': 0.004994936078968213, 'batch_size': 550, 'early_stopping': False, 'hidden_layer_sizes': (200, 200), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01249474692241287, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0003756225289706095, 'validation_fraction': 0.2}",0.8612836438923396,0.8488612836438924,0.8775933609958506,0.8755186721991701,0.8838174273858921,0.869414877623429,0.012650253164433512,6
79,7.157805013656616,1.4532838446705387,0.0035503864288330077,0.00015495487998039623,logistic,0.0030001622936709246,2346,False,"(100,)",constant,0.00993577879430263,5000,25,69,adam,0.00014248240557835105,0.2,"{'activation': 'logistic', 'alpha': 0.0030001622936709246, 'batch_size': 2346, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.00993577879430263, 'max_iter': 5000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'adam', 'tol': 0.00014248240557835105, 'validation_fraction': 0.2}",0.8571428571428571,0.8530020703933747,0.8755186721991701,0.8713692946058091,0.8900414937759336,0.869414877623429,0.013315525342344722,6
470,11.620423603057862,3.1085144511540452,0.004941129684448242,0.0016598714942455447,logistic,0.009776550276583156,1229,False,"(100,)",constant,0.012825522956787773,5000,50,69,adam,0.0003449871522885353,0.2,"{'activation': 'logistic', 'alpha': 0.009776550276583156, 'batch_size': 1229, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.012825522956787773, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0003449871522885353, 'validation_fraction': 0.2}",0.8509316770186336,0.84472049689441,0.8838174273858921,0.8900414937759336,0.8755186721991701,0.8690059534548078,0.01800417779902363,8
187,179.39269270896912,51.09756655978748,0.02293562889099121,0.001966285991187634,logistic,0.0003891536028285624,2326,False,"(500, 500)",constant,0.0021732376380666158,5000,50,69,adam,0.0002497241565101966,0.2,"{'activation': 'logistic', 'alpha': 0.0003891536028285624, 'batch_size': 2326, 'early_stopping': False, 'hidden_layer_sizes': (500, 500), 'learning_rate': 'constant', 'learning_rate_init': 0.0021732376380666158, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0002497241565101966, 'validation_fraction': 0.2}",0.8509316770186336,0.8530020703933747,0.8651452282157677,0.8879668049792531,0.8796680497925311,0.867342766079912,0.014540097446258851,9
228,7.613241910934448,1.6587337202354695,0.0032961368560791016,0.00016474085490423928,logistic,0.008696734328817962,1105,False,"(100,)",adaptive,0.015273458053447753,5000,50,69,adam,0.00022337128491170153,0.2,"{'activation': 'logistic', 'alpha': 0.008696734328817962, 'batch_size': 1105, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.015273458053447753, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00022337128491170153, 'validation_fraction': 0.2}",0.8571428571428571,0.8592132505175983,0.8900414937759336,0.8526970954356846,0.8775933609958506,0.8673376115735849,0.014176950564387404,10
837,18.95355157852173,5.646660328996348,0.006131172180175781,0.0011805695143530125,logistic,0.0025309110565134574,1949,False,"(100, 100)",constant,0.005321691943274442,5000,50,69,adam,0.00018159397456467266,0.2,"{'activation': 'logistic', 'alpha': 0.0025309110565134574, 'batch_size': 1949, 'early_stopping': False, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'learning_rate_init': 0.005321691943274442, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00018159397456467266, 'validation_fraction': 0.2}",0.865424430641822,0.8530020703933747,0.8630705394190872,0.8568464730290456,0.8962655601659751,0.866921814729861,0.015319279810926423,11
596,15.1975839138031,3.14145572704414,0.004822635650634765,0.0007076551901908677,tanh,0.0062013045699347395,1348,False,"(50, 50)",adaptive,0.0035300139512129394,5000,50,69,adam,0.0003233336730829605,0.2,"{'activation': 'tanh', 'alpha': 0.0062013045699347395, 'batch_size': 1348, 'early_stopping': False, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0035300139512129394, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0003233336730829605, 'validation_fraction': 0.2}",0.8530020703933747,0.8530020703933747,0.8858921161825726,0.8734439834024896,0.8651452282157677,0.8660970937175158,0.01256729901043413,12
778,7.389423274993897,1.4695592950836007,0.005460691452026367,0.0013143021979973506,tanh,0.0002425582474549114,1988,False,"(100,)",constant,0.0028720013281723017,5000,10,69,adam,0.00012146654303405948,0.2,"{'activation': 'tanh', 'alpha': 0.0002425582474549114, 'batch_size': 1988, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.0028720013281723017, 'max_iter': 5000, 'n_iter_no_change': 10, 'random_state': 69, 'solver': 'adam', 'tol': 0.00012146654303405948, 'validation_fraction': 0.2}",0.8674948240165632,0.8778467908902692,0.8651452282157677,0.8568464730290456,0.8568464730290456,0.8648359578361383,0.007798855419369156,13
128,4.651244831085205,2.406536272458063,0.003064584732055664,6.987501495225072e-05,logistic,0.009376245617415277,2074,False,"(50,)",invscaling,0.01515352891473799,5000,50,69,adam,0.00022358782012520296,0.2,"{'activation': 'logistic', 'alpha': 0.009376245617415277, 'batch_size': 2074, 'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling', 'learning_rate_init': 0.01515352891473799, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00022358782012520296, 'validation_fraction': 0.2}",0.8737060041407867,0.8716356107660456,0.8589211618257261,0.8547717842323651,0.8630705394190872,0.8644210200768022,0.007258667082214546,14
721,19.685087299346925,3.2030451714648915,0.007774877548217774,0.0009050098355844288,logistic,0.0030072342479945642,2392,False,"(500,)",adaptive,0.006906230168577254,5000,10,69,adam,0.00013958443120508195,0.2,"{'activation': 'logistic', 'alpha': 0.0030072342479945642, 'batch_size': 2392, 'early_stopping': False, 'hidden_layer_sizes': (500,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.006906230168577254, 'max_iter': 5000, 'n_iter_no_change': 10, 'random_state': 69, 'solver': 'adam', 'tol': 0.00013958443120508195, 'validation_fraction': 0.2}",0.8530020703933747,0.8322981366459627,0.8692946058091287,0.8547717842323651,0.8651452282157677,0.8549023650593199,0.012857932592568537,15
952,6.176476192474365,1.7589370603524053,0.0045760154724121095,0.0006597891771104018,logistic,0.004505294059867159,2116,False,"(200,)",adaptive,0.004085180435688328,5000,25,69,adam,0.0005508742784775335,0.2,"{'activation': 'logistic', 'alpha': 0.004505294059867159, 'batch_size': 2116, 'early_stopping': False, 'hidden_layer_sizes': (200,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.004085180435688328, 'max_iter': 5000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'adam', 'tol': 0.0005508742784775335, 'validation_fraction': 0.2}",0.8530020703933747,0.8467908902691511,0.8755186721991701,0.8423236514522822,0.8568464730290456,0.8548963514686048,0.011458120911938952,16
368,12.017948770523072,4.415722029203616,0.004606199264526367,0.0010062769962442702,logistic,0.0005247632882755881,2047,False,"(100,)",adaptive,0.018745876230719462,5000,50,69,adam,0.00018593427911039987,0.2,"{'activation': 'logistic', 'alpha': 0.0005247632882755881, 'batch_size': 2047, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.018745876230719462, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00018593427911039987, 'validation_fraction': 0.2}",0.8281573498964804,0.84472049689441,0.8568464730290456,0.8734439834024896,0.8692946058091287,0.8544925818063109,0.016570059892457016,17
995,3.4766851902008056,0.892541070813077,0.0036633491516113283,0.0005607526601840482,logistic,0.003369508886937975,669,False,"(100,)",invscaling,0.012291554103229685,5000,25,69,adam,0.00032904428835589517,0.2,"{'activation': 'logistic', 'alpha': 0.003369508886937975, 'batch_size': 669, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'learning_rate_init': 0.012291554103229685, 'max_iter': 5000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'adam', 'tol': 0.00032904428835589517, 'validation_fraction': 0.2}",0.8322981366459627,0.8426501035196687,0.8506224066390041,0.8464730290456431,0.8900414937759336,0.8524170339252425,0.019770254512489246,18
39,125.6882246017456,16.556064877993435,0.0075185298919677734,0.0016501962375483604,logistic,0.0018420782066060758,1408,False,"(500,)",adaptive,0.04211932206981758,5000,50,69,sgd,0.00012405636970381841,0.2,"{'activation': 'logistic', 'alpha': 0.0018420782066060758, 'batch_size': 1408, 'early_stopping': False, 'hidden_layer_sizes': (500,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.04211932206981758, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'sgd', 'tol': 0.00012405636970381841, 'validation_fraction': 0.2}",0.84472049689441,0.8405797101449275,0.8651452282157677,0.8526970954356846,0.8589211618257261,0.8524127385033031,0.008986076656545692,19
738,3.229866075515747,0.5598302578986012,0.005233955383300781,0.001558613034438799,tanh,0.00012650663048691216,2049,False,"(50,)",adaptive,0.002388140060746945,5000,10,69,adam,0.00023760279508101232,0.2,"{'activation': 'tanh', 'alpha': 0.00012650663048691216, 'batch_size': 2049, 'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.002388140060746945, 'max_iter': 5000, 'n_iter_no_change': 10, 'random_state': 69, 'solver': 'adam', 'tol': 0.00023760279508101232, 'validation_fraction': 0.2}",0.8240165631469979,0.8240165631469979,0.8672199170124482,0.8423236514522822,0.8651452282157677,0.8445443845948988,0.018901264988329974,20
678,8.368544864654542,1.8782064489885346,0.005030012130737305,0.0010357705303862526,relu,0.0017560397831536956,580,False,"(200,)",adaptive,0.010526049049214635,5000,50,69,adam,0.00036999219218206364,0.2,"{'activation': 'relu', 'alpha': 0.0017560397831536956, 'batch_size': 580, 'early_stopping': False, 'hidden_layer_sizes': (200,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.010526049049214635, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00036999219218206364, 'validation_fraction': 0.2}",0.8343685300207039,0.8467908902691511,0.8381742738589212,0.8485477178423236,0.8547717842323651,0.8445306392446931,0.007345727337838649,21
868,0.9504782199859619,0.30121827683426833,0.0035596370697021486,0.0007140969012353875,logistic,0.00013889872776981274,982,False,"(50,)",invscaling,0.009608430036769644,5000,10,69,adam,0.00015818826911822174,0.2,"{'activation': 'logistic', 'alpha': 0.00013889872776981274, 'batch_size': 982, 'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling', 'learning_rate_init': 0.009608430036769644, 'max_iter': 5000, 'n_iter_no_change': 10, 'random_state': 69, 'solver': 'adam', 'tol': 0.00015818826911822174, 'validation_fraction': 0.2}",0.8405797101449275,0.8260869565217391,0.8630705394190872,0.8174273858921162,0.8692946058091287,0.8432918395573996,0.02019739800362971,22
670,372.2199116230011,72.0396193589134,0.036929988861083986,0.00508876431408988,tanh,0.0012248863647544728,1645,False,"(500, 500)",constant,0.0011683496946394136,5000,50,69,sgd,0.00019068296430600304,0.2,"{'activation': 'tanh', 'alpha': 0.0012248863647544728, 'batch_size': 1645, 'early_stopping': False, 'hidden_layer_sizes': (500, 500), 'learning_rate': 'constant', 'learning_rate_init': 0.0011683496946394136, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'sgd', 'tol': 0.00019068296430600304, 'validation_fraction': 0.2}",0.8405797101449275,0.8343685300207039,0.8630705394190872,0.8464730290456431,0.8278008298755186,0.8424585277011761,0.012039911723364332,23
595,5.05762677192688,0.7744538365668945,0.0037240028381347657,0.0007003039926158438,logistic,0.004040700076926222,864,False,"(100,)",constant,0.013543908723840137,5000,50,69,adam,0.00023410556858528923,0.2,"{'activation': 'logistic', 'alpha': 0.004040700076926222, 'batch_size': 864, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.013543908723840137, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00023410556858528923, 'validation_fraction': 0.2}",0.8302277432712215,0.8343685300207039,0.8485477178423236,0.8506224066390041,0.8464730290456431,0.8420478853637793,0.008173620880944258,24
